Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Cu60 Zr30 Ti10;713;750;1151;4
(Cu60 Zr30 Ti10)98 Y2;707;757;1122;5
Cu60 Zr33 Ti7;740;768;1191;3
Fe25 Co25 Ni25 (P30 B30 C20 Si20)25;719;752;1257;1
Fe25 Co25 Ni25 (P40 B30 Si20 C10)25;720;759;1263;1.5
Fe25 Co25 Ni25 (P40 C30 B20 Si10)25;676;714;1276;1
Fe36 Co36 B19.2 Si4.8 Nb4;817;856;1359;2
Fe40 Co20 Ni15 P10 C10 B5;675;735;1255;2.5
Fe40 Ni35 P10 C10 B5;643;698;1220;1.5
Fe41 Cr20 C15 Mo10 W6 B6 Y2;881;918;1518;6
Fe43 Cr20 Mo10 C15 B6 W4 Y2;858;920;1503;8
Fe45 Cr20 Mo10 C15 B6 W2 Y2;856;913;1500;6
Fe47 Cr20 Mo10 C15 B6 Y2;854;909;1494;5
Fe48 Cr15 C15 Mo14 Er2 B6;844;880;1446;8
[(Fe50 Co50)75 B20 Si5]96 Nb4;820;870;1397;5
Fe56 Co16 Y6 B22;882;927;1494;2.5
Fe56 Cr7 Mo12 C12 B6 Mn5 Er2;793;832;1401;8
Fe56.8 B24 Co 14.2 Nb5;823;868;1496;2
Fe58 MoB111:L14514 C15 B6 Cr5 Er2;793;829;1416;6
[(Fe60 Co40)72 B24 Mo4]94 Dy6;847;927;1366;2
[(Fe60 Co40)75 B20 Si5]96 Nb4;825;875;1407;4
{[(Fe60 Co40)75 B20 Si5 ]96 Nb4}97 Cr3;831;874;1474;3.5
{[(Fe60 Co40)75 B20 Si5]96 Nb4}99 Cr1;827;871;1462;4
[(Fe60 Co40)75 B20 Si5]95 Nb4 Mo1;818;859;1414;2
[(Fe60 Co40)75 B20 Si5]95 Nb4 Zr1;825;866;1396;2
Fe61 B15 Mo7 Zr8 Co5 Y2 Cr2;901;960;1490;5
Fe61 B15 Zr8 Mo7 Co7 Y2;905;916;1490;5
Fe63 C15 Mo14 B6 Er2;771;830;1389;3
Fe65.5 P12 C5 B5.5 Cr4 Mo4 Ga4;745;806;1322;3
Fe66 B22 W6 Y6;897;981;1497;2
Fe67 B22 Y6 Mo5;920;941;1483;3.5
Fe67 B22 Y6 W5;882;970;1497;3
Fe68 B22 Y6 Co4;896;941;1414;2
Fe68 B22 Y6 Ni4;872;907;1470;1.5
(Fe68 B20 Tb7 Si5)96 Nb4;959;1019;1438;2
Fe69 B22 Y6 Ni3;874;910;1503;1.5
(Fe69 B20 Tb6 Si5)96 Nb4;952;1012;1411;3
Fe70 B20 Nb4 Hf3 Y3;850;924;1437;3.5
Fe70 B22 Y6 Mo2;907;969;1508;3.5
Fe70 B22 Y6 W2;867;970;1521;3
[(Fe70 Co30)75 B20 Si5]96 Nb4;828;878;1413;3.5
Fe70.83 B16.67 Si8.33 Hf4.17;858;893;1485;1.5
Fe71 B20 Nb4 Hf3 Y2;850;928;1432;4
Fe71 B22 Y6 Ni1;883;926;1507;2
Fe71 B23 Nb6;819;865;1494;1.5
(Fe71 B24 Gd5)96 Nb4;865;982;1485;3.5
(Fe71 B24 Tb05)96 Nb4;863;991;1474;3.5
Fe71 P12 C10 Mo2 Nb3 B2;719;757;1305;1
(Fe71 B20 Si5 Tb4)96 Nb4;869;969;1397;3.5
Fe71.67 B16.67 Si8.33 Zr3.33;847;883;1461;2.5
(Fe72 B20 Nb4 Si4)96 Y4;905;933;1424;3
(Fe72 B20 Nb4 Si4)98 Y2;855;903;1416;2
Fe72 B22 Y6;898;950;1413;2
(Fe72 B22 Y6)98 Ta2;917;979;1415;4
(Fe72 B24 Mo4)93 Dy7;880;957;1406;2
(Fe72 B24 Mo4)95 Dy5;853;942;1401;2
Fe72 P9 C9 Cr8 B2;710;750;1296;1
Fe72 B20 Nb4 Hf3 Y1;841;916;1446;3
Fe72.5 B16.67 Si8.33 Hf2.5;852;885;1458;2.5
Fe73 P10 Mo4 C4 B4 Ga3 Si2;744;801;1283;2
(Fe73 B20 Si5 Tb3)96 Nb4;844;914;1440;2.5
Fe73.85 B15.38 Si7.69 Zr3.08;848;873;1483;2
Fe74.81 B14.81 Si7.41 Zr2.96;840;865;1492;2
Fe74 P10 Mo5 C4 B4 Si3;758;799;1263;3
(Fe74 B20 Si5 Tb1)96 Nb4;836;882;1459;1
Fe75.71 B14.29 Si7.14 Zr2.86;839;862;1496;1.5
(Fe75 B15 Si10)98 Nb2;812;870;1425;1
(Fe75 B15 Si10)99 Zr1;867;919;1469;0.75
Fe75 P9 C9 Cr5 B2;707;743;1286;1.5
Fe75 P10 C4 B4 Mo2 Ga3 Si2;738;798;1230;2.5
Fe76 P8.7 C7 B5 Si3.3;779;795;1292;1
Fe76 P10 C4 B4 Mo3 Si3;750;793;1250;3.5
Fe76 B10 Si9 P5;780;832;1258;2.5
Fe77 Mo2 P10 C4 B4 Si3;742;783;1264;2.5
Fe78 Mo1 P10 C4 B4 Si3;742;780;1268;1.5
(Fe80 Co20)71 B23 Nb6;809;864;1475;2
[(Fe80 Co20)75 B20 Si5]96 Nb4;830;880;1431;2.5
(Fe81.5 C14 Si3.8 Tm0.7)90.9 P9.1;717;767;1318;1
[(Fe90 Co10)72 B24 Mo4]94 Dy6;860;945;1385;2
Gd55 Ni22 Al20 Mn3;553;603;955;2
Gd60 Co25 Al15;572;617;952;5
Hf48 Cu29.25 Al13 Ni9.75;785;874;1280;10
(La0.3 Ce0.7)65 Al10 Co25;416;436;778;9
(La0.4 Ce0.6)65 Al10 Co25;425;448;789;12
(La0.5 Ce0.5)65 Al10 Co25;427;453;776;15
La32 Ce32 Al16 Cu10 Ni5 Co5;413;467;718;12
La32 Ce32 Al16 Cu15 Ni5;403;451;712;10
La32 Ce32 Al16 Cu7 Co 8Ni5;416;471;739;10
"La55.4(Cu,Ni)26.2 Al18.4";426;491;881;2
La55 Cu20 Al17.5 Ag7.5;425;498;852;3
La55 Al25 Cu15 Ag5;452;503;860;3
La55 Al25 Ni10 Cu10;467;547;835;5
La55 Al25 Ni5 Cu10 Co5;465;542;822;9
"La57.6 (Cu,Ni)24.9 Al17.5";425;499;790;8
"La59.6 (Cu,Ni)23.8 Al16.6";416;475;750;8
La60 Cu20 Al15 Ag5;401;481;759;5
"La61.4 (Cu,Ni)22.7 Al15.9";413;459;729;10.5
"La62 (Cu,Ni)24 Al14";417;446;738;10
La62 Al14(Cu83 Ag17)12(Ni50 Co50)12;429;471;698;16
La62 Al14(Cu83 Ag17)16(Ni50 Co50)8;415;477;708;16
La62 Al14 Cu12 Ni12;423;452;744;12
La62 Cu17 Al14 Ag7;406;458;739;5
La62 Cu19 Al14 Ag5;405;456;730;5
La62 Cu22 Al14 Ag2;401;455;722;5
La62 Cu24 Al10.8 Mg3.2;387;421;710;10
La62 Cu24 Al9.8 Mg4.2;386;440;719;10
La62.5 Cu15 Al12.5 Ag5 Fe5;390;445;713;6
La62.5 Cu17.5 Al12.5 Ag5 Fe2.5;391;464;711;7
"La63.1(Cu,Ni)21.7 Al15.2";408;448;709;10
La65 Cu20 Al10 Ag5;380;458;716;5
La66 Cu20 Al14;395;449;731;2
